"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords","LAU1_CODE","LAU1_NAME"
"P5","Ceredigion County Council","Ceredigion Social Enterprise Growth Fund","ERDF",1496632,0,2524242,"07/2009","11/2014","Wales","Wales","First","Ceredigion","Aberystwyth","SY23 3UE","52.4078097","-4.0697495","UKL1407","Ceredigion"
"P1","Aberystwyth University","BEACON v2","ERDF",10185314,0,19646866,"12/2010","06/2015","Wales","Wales","First","Ceredigion","Aberystwyth","SY23","52.417793","-4.065933","UKL1407","Ceredigion"
"P1","High Performance Computing Wales","High Performance Computing Wales","ERDF",19610891,0,39939921,"06/2010","06/2015","Wales","Wales","First","Ceredigion","Aberystwyth","SY23","52.417793","-4.065933","UKL1407","Ceredigion"
"P1","National Library of Wales","Digitisation For Business","ERDF",1890602,0,2154068,"12/2011","05/2015","Wales","Wales","First","Ceredigion","Aberystwyth","SY23","52.4175508","-4.0685217","UKL1407","Ceredigion"
"P1","Aberystwyth University","WISE 2","ERDF",6385299,0,11678452,"12/2011","06/2015","Wales","Wales","First","Ceredigion","Aberystwyth","SY23","52.417793","-4.065933","UKL1407","Ceredigion"
"P4","Cadwgan Building Preservation Trust","CardiganCastle","ERDF",4274718,0,6987672,"09/2010","09/2015","Wales","Wales","First","Ceredigion","Cardigan","SA43 1JA","52.081574","-4.6610772","UKL1407","Ceredigion"
"P3","Coleg Llandrillo Cymru","YDyfodol","ESF",5806751,0,9677909,"02/2011","09/2015","Wales","Wales","First","Conwy","Colwyn Bay","LL28","53.3090854","-3.7548815","UKL1304","Conwy"
"P5","Conwy County Borough Council","Parc Eirias Development Project","ERDF",1486784,0,6536784,"09/2009","10/2014","Wales","Wales","First","Conwy","Llanrwst","LL26 0EG","53.1443124","-3.8021894","UKL1304","Conwy"
"P6","Conwy County Borough Council","North And Mid Wales Specialist EuropeanTeam Convergence ERDF","ERDF",697338,0,1262393,"04/2010","09/2015","Wales","Wales","First","Conwy","Llanrwst","LL26 0EG","53.1443124","-3.8021894","UKL1304","Conwy"
"P5","Conwy County Borough Council","North and Mid Wales Specialist European Team Convergence ESF","ESF",471045,0,853091,"04/2010","09/2015","Wales","Wales","First","Conwy","Llanrwst","LL26 0EG","53.1443124","-3.8021894","UKL1304","Conwy"
"P5","Conwy County Borough Council","North and Mid Wales Specialist European Team CompetitivenessERDF","ERDF",32900,0,59550,"10/2010","09/2015","Wales","Wales","First","Conwy","Llanrwst","LL26 0EG","53.1443124","-3.8021894","UKL1304","Conwy"
"P3","Conwy County Borough Council","North And Mid Wales Specialist European Team Competitiveness ESF","ESF",19863,0,39706,"10/2010","09/2015","Wales","Wales","First","Conwy","Llanrwst","LL26 0EG","53.1443124","-3.8021894","UKL1304","Conwy"
"P4","Isle of Anglesey County Council","The Development Of Angleseys Coastal Environment","ERDF",3499675,0,6920381,"06/2009","06/2015","Wales","Wales","First","Denbighshire","Ruthin","LL15","53.1144802","-3.3085956","UKL1305","Denbighshire"
"P2","Isle of Anglesey County Council","NW Wales Local Investment Fund","ERDF",4493471,0,9443520,"03/2009","06/2015","Wales","Wales","First","Denbighshire","Ruthin","LL15","53.1144802","-3.3085956","UKL1305","Denbighshire"
"P3","Isle of Anglesey County Council","Strategic Infrastructure on Anglesey Sites and Premises","ERDF",2112500,0,3410000,"07/2012","10/2015","Wales","Wales","First","Denbighshire","Ruthin","LL15","53.1144802","-3.3085956","UKL1305","Denbighshire"
"P2","Deeside College","Skills For the Workforce","ESF",1924753,0,4814201,"05/2010","07/2015","Wales","Wales","First","Flintshire","Deeside","CH5","53.2265716","-3.0766623","UKL2304","Flintshire"
"P4","Flintshire County Council","North East Wales Town Centre Regeneration Project","ERDF",1928208,0,3643906,"02/2012","06/2015","Wales","Wales","First","Flintshire","Mold","CH7 1JZ","53.1615655","-3.1373157","UKL2304","Flintshire"
