"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","SCRABSTER HARBOUR TRUST","Scrabster Harbour Marine Renewable Infastructure","ERDF","2213237","N/A","8852947","N/A","N/A","Scotland","Highland and Islands","First","Highland","Thurso","KW14 7UN","58.6075536","-3.5540047"
"P2","North Highland College","North of Scotland Engineering and Energy Centre","ERDF","3386667","N/A","8466667","N/A","N/A","Scotland","Highland and Islands","First","Highland","Thurso","KW14","58.5834483","-3.5377879"
"P2","Applecross Trust","Applecross Landscape Partnership Scheme","ERDF","168295","N/A","373989","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Strathcarron","IV54 8ND","57.4448577","-5.8133106"
"P2","Applecross Trust","Applecross Landscape Partnership Scheme (Revenue projects)","ERDF","69476","N/A","154390","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Strathcarron","IV54 8ND","57.4448577","-5.8133106"
"P1","The Highland Council","Starter Business Units in Inverness","ERDF","600000","N/A","1500000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Portree","IV51 9BS","57.4124814","-6.1941487"
"P1","The Highland Council","The Highland Council Business Gateway Plus","ERDF","34000","N/A","85000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Portree","IV51 9BS","57.4124814","-6.1941487"
"P2","The Highland Council","Green and Active Travel Improvements","ERDF","224000","N/A","560000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Portree","IV51 9BS","57.4124814","-6.1941487"
"P3","The Highland Council","Vital Highland Roads","ERDF","500000","N/A","2250000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Portree","IV51 9BS","57.4124814","-6.1941487"
"P3","The Highland Council","Sconser Ferry enhancement","ERDF","500000","N/A","2000000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Portree","IV51 9BS","57.4124814","-6.1941487"
"P3","The Highland Council","Locally significant roads – Highland. Improvements to B8007/","ERDF","250000","N/A","1000000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Portree","IV51 9BS","57.4124814","-6.1941487"
"P3","The Highland Council","A855 Portree to Staffin","ERDF","250000","N/A","1114578","N/A","N/A","Scotland","Highland and Islands","First","Highland","Portree","IV51 9BS","57.4124814","-6.1941487"
"P1","Highland Birchwoods","Renewable Heat Advice and Business Support","ERDF","91363","N/A","228407","N/A","N/A","Scotland","Highland and Islands","First","Highland","Munlochy","IV8 8NN","57.5493239","-4.2698772"
"P1","North Lands Creative Glass","North Lands Creative Glass Development Project","ERDF","130000","N/A","325000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Lybster","KW3","58.3093639","-3.2807247"
"P2","Royal Society for the Protection of Birds","Flows to the Future Observatory","ERDF","115335","N/A","256300","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Isle of Skye","IV49 9AB","57.2419003","-5.912388"
"P2","Royal Society for the Protection of Birds","Enjoy Wild Orkney - Revenue","ERDF","177445","N/A","435444","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Isle of Skye","IV49 9AB","57.2419003","-5.912388"
"P2","Royal Society for the Protection of Birds","Enjoy Wild Orkney","ERDF","134181","N/A","300962","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Isle of Skye","IV49 9AB","57.2419003","-5.912388"
"P3","Sabhal Mor Ostaig","Leasachadh Na Cille Bige/ Kilbeg Village - Phase One","ERDF","1908000","N/A","3827026","N/A","N/A","Scotland","Highland and Islands","First","Highland","Isle of Skye","IV44 8RQ","57.0860237","-5.8799656"
"P1","New Start Highland","New Start Highland Enterprise Centre","ERDF","464757","N/A","1161893","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Inverness","IV3 8DU","57.4876539","-4.2434304"
"P2","British Waterways","The Great Glen Canoe Trail","ERDF","270500","N/A","601800","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Inverness","IV3 5LE","57.4820063","-4.2442137"
"P2","Scottish Natural Heritage","Beinn Eighe - Gateway to Wild Wester Ross","ERDF","148500","N/A","330000","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Inverness","IV2 4AG","57.4731786","-4.2240566"
"P2","Scottish Natural Heritage","Opening up the Forbidden Isle","ERDF","88000","N/A","220000","N/A","N/A","Scotland","Highland and Islands","Second","Highland","Inverness","IV2 4AG","57.4731786","-4.2240566"
"P2","The Highlanders Museum","The Highlanders Museum Redevelopment Project","ERDF","772856","N/A","2505707","N/A","N/A","Scotland","Highland and Islands","First","Highland","Inverness","IV2 7TD","57.5826276","-4.0517242"
"P1","Cromarty Firth Port Authority","CFPA Phase III Development","ERDF","2600000","N/A","6500000","N/A","N/A","Scotland","Highland and Islands","First","Highland","Invergordon","IV18 0HD","57.686909","-4.1667954"
"P1","Sealladh na Beinne Moire","Lochboisdale Regeneration - Enhanced Phase 1","ERDF","1799404","N/A","4792479","N/A","N/A","Scotland","Highland and Islands","Fourth","Highland","Fort William","PH33 6RZ","56.6985742","-5.1797438"
