"Priority","Organization","Project","Type","Subsidy","Matching","Total","Start_date","End_date","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Glasgow Metropolitan College","Employability Skills@Glasgowmet","ESF","315278","N/A","700619","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","Women Into Construction@Glasgow Met","ESF","91839","N/A","204087","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","Employability Skills For Minority Ethnic Groups","ESF","144204","N/A","320454","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","Employability Project@GlasgowMET","ESF","329340","N/A","731867","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","Glasgow Met - Employability Skills for Ethnic Minorities","ESF","151712","N/A","337139","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","GlasgowMet - Women Into Construction2009","ESF","101061","N/A","224581","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","Women Into Construction2010@GlasgowMET","ESF","97564","N/A","216810","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","Newstart2010@GlasgowMET","ESF","309274","N/A","687276","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Glasgow Metropolitan College","Employability Skills for Minority Ethnic Groups@GlasgowMET","ESF","137097","N/A","304662","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G1 2BP","55.8628226","-4.2489702"
"P1","Inverclyde Council","Inverclyde CPP ESF Employability Programme","ESF","1584471","N/A","4546958","N/A","N/A","Scotland","Lowlands and Uplands","Second","Inverclyde","Greenock","PA16","55.9539928","-4.777117"
"P1","James Watt College","The Routes to Work Programme","ESF","103468","N/A","229931","N/A","N/A","Scotland","Lowlands and Uplands","Second","Inverclyde","Greenock","PA16","55.9539928","-4.777117"
"P1","Kibble Education and Care","Connect 4 Employment","ESF","415990","N/A","1039976","N/A","N/A","Scotland","Lowlands and Uplands","Second","Renfrewshire","Paisley","PA3 2LH","55.8569275","-4.4375798"
"P1","Kibble Education and Care","KibbleWorks Plus","ESF","242345","N/A","605863","N/A","N/A","Scotland","Lowlands and Uplands","Second","Renfrewshire","Paisley","PA3 2LH","55.8569275","-4.4375798"
"P1","Kilmarnock College","First Steps into Employment","ESF","335072","N/A","744606","N/A","N/A","Scotland","Lowlands and Uplands","Second","East Ayrshire","Kilmarnock","KA3","55.6158255","-4.4992451"
"P1","Momentum Scotland","The Catalyst Ayrshire Programme","ESF","87835","N/A","195189","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","Momentum Scotland","The Glasgow Momentum Employability Programme","ESF","408817","N/A","1147463","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","Momentum Scotland","Work Matters","ESF","117931","N/A","262069","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","Momentum Scotland","Opportunities for People through Employment and Learning (OPEL)","ESF","109077","N/A","242393","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","Momentum Scotland","Catalyst Programme","ESF","276725","N/A","614946","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","Momentum Scotland","Opportunities for People through Employment and Learning","ESF","317938","N/A","706529","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","Momentum Scotland","Glasgow Momentum Partnership","ESF","2343578","N/A","5858946","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","Momentum Scotland","Momentum Work Choice (Work Entry)","ESF","733660","N/A","1834151","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G51","55.8545637","-4.2942548"
"P1","National Autistic Society (Prospects)","NEET AVOIDANCE","ESF","92281","N/A","207163","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G2","55.8609057","-4.2586058"
"P1","National Autistic Society (Prospects)","Working with Autism - Prospects for Employment","ESF","49760","N/A","117816","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G2","55.8609057","-4.2586058"
"P1","North Ayrshire Council","North Ayrshire Employability Continuum - ESF aspect","ESF","1215624","N/A","3039063","N/A","N/A","Scotland","Lowlands and Uplands","Second","North Ayrshire","Isle of Cumbrae","KA28","55.7535865","-4.9286167"
"P1","North Lanarkshire Council","North Lanarkshire CPP – ESF Bid","ESF","6479141","N/A","14398091","N/A","N/A","Scotland","Lowlands and Uplands","Second","North Lanarkshire","Airdrie","ML6 6BN","55.8654528","-3.982917"
"P1","ProjectScotland","Chance for Change","ESF","246960","N/A","552460","N/A","N/A","Scotland","Lowlands and Uplands","Second","Edinburgh","Edinburgh","EH7 4GH","55.9624013","-3.1869316"
"P1","Reid Kerr College","Skills for Sustainable Employment in Renfrewshire","ESF","158472","N/A","352162","N/A","N/A","Scotland","Lowlands and Uplands","Second","Renfrewshire","Paisley","PA3","55.8561776","-4.4154495"
"P1","Remploy Ltd","Putting Ability First In Scotland","ESF","854222","N/A","2190314","N/A","N/A","Scotland","Lowlands and Uplands","Second","Fife","Cowdenbeath","KY4","56.1073066","-3.3768591"
"P1","Renfrewshire Council","Renfrewshire Workforce Plus Programme","ESF","3099698","N/A","8094426","N/A","N/A","Scotland","Lowlands and Uplands","Second","Renfrewshire","Paisley","PA3 1QS","55.846654","-4.5331259"
"P1","Right Track Scotland Ltd","MOTIVATOR","ESF","146863","N/A","733872","N/A","N/A","Scotland","Lowlands and Uplands","Second","Glasgow City","Glasgow","G40","55.8513751","-4.223113"
